"GroupID","GroupLevel","Numerator","Denominator","Metric","Score","Flag","MetricID","SnapshotDate","StudyID"
"Japan","Country",134,554,0.24187725631769,1.41034617735942,0,"Analysis_cou0001",2025-02-01,"AA-AA-000-0000"
"UK","Country",147,719,0.204450625869263,-0.146274357652822,0,"Analysis_cou0001",2025-02-01,"AA-AA-000-0000"
"US","Country",163,866,0.188221709006928,-0.994749954662443,0,"Analysis_cou0001",2025-02-01,"AA-AA-000-0000"
"UK","Country",70,719,0.0973574408901252,-1.28377347761171,-1,"Analysis_cou0002",2025-02-01,"AA-AA-000-0000"
"Japan","Country",59,554,0.106498194945848,1.13233751531914,0,"Analysis_cou0002",2025-02-01,"AA-AA-000-0000"
"US","Country",89,866,0.102771362586605,0.264078415592071,0,"Analysis_cou0002",2025-02-01,"AA-AA-000-0000"
"Japan","Country",64,554,0.115523465703971,0.731439821972096,0,"Analysis_cou0003",2025-02-01,"AA-AA-000-0000"
"UK","Country",83,719,0.115438108484006,0.824380089717458,0,"Analysis_cou0003",2025-02-01,"AA-AA-000-0000"
"US","Country",83,866,0.0958429561200924,-1.3361860852856,0,"Analysis_cou0003",2025-02-01,"AA-AA-000-0000"
"Japan","Country",65,554,0.117328519855596,0.853656982517315,0,"Analysis_cou0004",2025-02-01,"AA-AA-000-0000"
"UK","Country",83,719,0.115438108484006,0.709745285646472,0,"Analysis_cou0004",2025-02-01,"AA-AA-000-0000"
"US","Country",88,866,0.10161662817552,-1.32948538378654,0,"Analysis_cou0004",2025-02-01,"AA-AA-000-0000"
"UK","Country",841,53771,0.0156404009596251,1.38921703721751,0,"Analysis_cou0005",2025-02-01,"AA-AA-000-0000"
"US","Country",890,61603,0.0144473483434248,-0.486725949339927,0,"Analysis_cou0005",2025-02-01,"AA-AA-000-0000"
"Japan","Country",687,48652,0.014120693907753,-0.912783585382515,0,"Analysis_cou0005",2025-02-01,"AA-AA-000-0000"
"Japan","Country",3,45,0.0666666666666667,1.45161914509794,0,"Analysis_cou0006",2025-02-01,"AA-AA-000-0000"
"UK","Country",1,50,0.02,NA,NA,"Analysis_cou0006",2025-02-01,"AA-AA-000-0000"
"US","Country",1,57,0.0175438596491228,NA,NA,"Analysis_cou0006",2025-02-01,"AA-AA-000-0000"
"UK","Country",2,50,0.04,NA,NA,"Analysis_cou0007",2025-02-01,"AA-AA-000-0000"
"Japan","Country",1,45,0.0222222222222222,NA,NA,"Analysis_cou0007",2025-02-01,"AA-AA-000-0000"
"US","Country",1,57,0.0175438596491228,NA,NA,"Analysis_cou0007",2025-02-01,"AA-AA-000-0000"
"Japan","Country",4230,67680,0.0625,0,0,"Analysis_cou0008",2025-02-01,"AA-AA-000-0000"
"UK","Country",4700,75200,0.0625,0,0,"Analysis_cou0008",2025-02-01,"AA-AA-000-0000"
"US","Country",5358,85728,0.0625,0,0,"Analysis_cou0008",2025-02-01,"AA-AA-000-0000"
"UK","Country",4326,4700,0.920425531914894,1.41717724075332,0,"Analysis_cou0009",2025-02-01,"AA-AA-000-0000"
"Japan","Country",3878,4230,0.916784869976359,-0.596042212523677,0,"Analysis_cou0009",2025-02-01,"AA-AA-000-0000"
"US","Country",4911,5358,0.916573348264278,-0.797710692657861,0,"Analysis_cou0009",2025-02-01,"AA-AA-000-0000"
"US","Country",1077,21432,0.0502519596864502,0.932254639273168,0,"Analysis_cou0010",2025-02-01,"AA-AA-000-0000"
"UK","Country",940,18800,0.05,0.349254587169789,0,"Analysis_cou0010",2025-02-01,"AA-AA-000-0000"
"Japan","Country",831,16920,0.049113475177305,-1.41736463935521,0,"Analysis_cou0010",2025-02-01,"AA-AA-000-0000"
"US","Country",22495,85728,0.262399682717432,1.36575772683827,0,"Analysis_cou0011",2025-02-01,"AA-AA-000-0000"
"Japan","Country",17576,67680,0.259692671394799,-0.637698069821185,0,"Analysis_cou0011",2025-02-01,"AA-AA-000-0000"
"UK","Country",19510,75200,0.259441489361702,-0.853256704238476,0,"Analysis_cou0011",2025-02-01,"AA-AA-000-0000"
"UK","Country",16,66,0.242424242424242,0.826253867621383,0,"Analysis_cou0012",2025-02-01,"AA-AA-000-0000"
"Japan","Country",14,59,0.23728813559322,0.626467204565599,0,"Analysis_cou0012",2025-02-01,"AA-AA-000-0000"
"US","Country",12,69,0.173913043478261,-1.38738725229997,0,"Analysis_cou0012",2025-02-01,"AA-AA-000-0000"
"US","Country",147634,157140,0.939506172839506,0.939506172839506,0,"Analysis_cou0013",2025-02-01,"AA-AA-000-0000"
