"Threshold","Denominator","LogDenominator","Numerator","Metric","MetricID","StudyID","SnapshotDate"
-3,151,5.01727983681492,91.3947368421053,0.605263157894737,"Analysis_qtl0001","AA-AA-000-0000",2025-02-01
-3,152,5.02388052084628,92,0.605263157894737,"Analysis_qtl0001","AA-AA-000-0000",2025-02-01
-3,153,5.03043792139244,92.6052631578947,0.605263157894737,"Analysis_qtl0001","AA-AA-000-0000",2025-02-01
-2,151,5.01727983681492,91.3947368421053,0.605263157894737,"Analysis_qtl0001","AA-AA-000-0000",2025-02-01
-2,152,5.02388052084628,92,0.605263157894737,"Analysis_qtl0001","AA-AA-000-0000",2025-02-01
-2,153,5.03043792139244,92.6052631578947,0.605263157894737,"Analysis_qtl0001","AA-AA-000-0000",2025-02-01
2,151,5.01727983681492,91.3947368421053,0.605263157894737,"Analysis_qtl0001","AA-AA-000-0000",2025-02-01
2,152,5.02388052084628,92,0.605263157894737,"Analysis_qtl0001","AA-AA-000-0000",2025-02-01
2,153,5.03043792139244,92.6052631578947,0.605263157894737,"Analysis_qtl0001","AA-AA-000-0000",2025-02-01
3,151,5.01727983681492,91.3947368421053,0.605263157894737,"Analysis_qtl0001","AA-AA-000-0000",2025-02-01
3,152,5.02388052084628,92,0.605263157894737,"Analysis_qtl0001","AA-AA-000-0000",2025-02-01
3,153,5.03043792139244,92.6052631578947,0.605263157894737,"Analysis_qtl0001","AA-AA-000-0000",2025-02-01
0,151,5.01727983681492,91.3947368421053,0.605263157894737,"Analysis_qtl0001","AA-AA-000-0000",2025-02-01
0,152,5.02388052084628,92,0.605263157894737,"Analysis_qtl0001","AA-AA-000-0000",2025-02-01
0,153,5.03043792139244,92.6052631578947,0.605263157894737,"Analysis_qtl0001","AA-AA-000-0000",2025-02-01
-3,151,5.01727983681492,1.98684210526316,0.0131578947368421,"Analysis_qtl0002","AA-AA-000-0000",2025-02-01
-3,152,5.02388052084628,2,0.0131578947368421,"Analysis_qtl0002","AA-AA-000-0000",2025-02-01
-3,153,5.03043792139244,2.01315789473684,0.0131578947368421,"Analysis_qtl0002","AA-AA-000-0000",2025-02-01
-2,151,5.01727983681492,1.98684210526316,0.0131578947368421,"Analysis_qtl0002","AA-AA-000-0000",2025-02-01
-2,152,5.02388052084628,2,0.0131578947368421,"Analysis_qtl0002","AA-AA-000-0000",2025-02-01
-2,153,5.03043792139244,2.01315789473684,0.0131578947368421,"Analysis_qtl0002","AA-AA-000-0000",2025-02-01
