"GroupID","GroupLevel","Numerator","Denominator","Metric","Score","Flag"
"0X8743","Site",8,30,0.266666666666667,2.68720835763531,1
"0X7497","Site",15,82,0.182926829268293,2.39295658756284,1
"0X2413","Site",25,165,0.151515151515152,2.30377946682676,1
"0X4264","Site",43,339,0.126843657817109,2.07428156671026,1
"0X8786","Site",44,639,0.0688575899843505,-1.11433834745431,-1
"0X6603","Site",32,490,0.0653061224489796,-1.18831302262549,-1
"0X759","Site",22,353,0.0623229461756374,-1.16010821015427,-1
"0X7011","Site",17,275,0.0618181818181818,-1.04657351429944,-1
"0X9360","Site",26,429,0.0606060606060606,-1.37503345001366,-1
"0X3676","Site",16,269,0.0594795539033457,-1.13877437640055,-1
"0X8351","Site",16,278,0.0575539568345324,-1.24445377850486,-1
"0X4874","Site",22,392,0.0561224489795918,-1.55435701094212,-1
"0X8354","Site",17,311,0.0546623794212219,-1.45408500993481,-1
"0X9346","Site",9,181,0.0497237569060773,-1.2888999600548,-1
"0X8788","Site",11,247,0.0445344129554656,-1.72612160258444,-1
"0X1084","Site",3,76,0.0394736842105263,-1.07673640126934,-1
"0X539","Site",2,61,0.0327868852459016,-1.10581585773434,-1
"0X9051","Site",1,39,0.0256410256410256,-1.00482751396554,-1
"0X8964","Site",1,42,0.0238095238095238,-1.07484318797266,-1
"0X6666","Site",1,43,0.0232558139534884,-1.09737839845785,-1
"0X8318","Site",0,46,0,-1.561369633767,-1
"0X5521","Site",9,55,0.163636363636364,1.57307818175986,0
"0X5603","Site",9,56,0.160714285714286,1.52820628085718,0
"0X1053","Site",6,39,0.153846153846154,1.15938336128038,0
"0X8379","Site",6,39,0.153846153846154,1.15938336128038,0
"0X4464","Site",7,47,0.148936170212766,1.18176229914432,0
"0X5502","Site",14,96,0.145833333333333,1.60677193542397,0
"0X717","Site",5,35,0.142857142857143,0.922586243967452,0
"0X8219","Site",13,91,0.142857142857143,1.48762561878005,0
"0X1323","Site",10,71,0.140845070422535,1.26819206242184,0
"0X9830","Site",8,61,0.131147540983607,0.970761943723034,0
"0X5434","Site",11,85,0.129411764705882,1.10267002017809,0
"0X2901","Site",16,124,0.129032258064516,1.32040102349538,0
"0X4071","Site",18,141,0.127659574468085,1.36394646195966,0
"0X4698","Site",7,58,0.120689655172414,0.731301831261605,0
"0X3999","Site",8,67,0.119402985074627,0.757526886214598,0
"0X4014","Site",23,193,0.119170984455959,1.27698675876392,0
"0X7041","Site",5,42,0.119047619047619,0.59354543770937,0
"0X213","Site",54,490,0.110204081632653,1.49818493686533,0
"0X4695","Site",9,82,0.109756097560976,0.601912821514548,0
"0X101","Site",28,259,0.108108108108108,0.998044594239121,0
"0X6948","Site",12,112,0.107142857142857,0.628697238897881,0
"0X4741","Site",6,57,0.105263157894737,0.410146967012132,0
"0X1068","Site",8,76,0.105263157894737,0.473596923623526,0
"0X4959","Site",65,618,0.105177993527508,1.3447824937389,0
"0X9858","Site",39,372,0.104838709677419,1.02565949444924,0
"0X8625","Site",51,492,0.103658536585366,1.10878400453198,0
"0X4485","Site",63,608,0.103618421052632,1.22990926426001,0
"0X5384","Site",18,179,0.100558659217877,0.556684719565965,0
"0X1536","Site",3,30,0.1,0.219628302947608,0
"0X3907","Site",16,162,0.0987654320987654,0.467894960437623,0
"0X1910","Site",46,466,0.0987124463519313,0.790475582334943,0
"0X1476","Site",14,142,0.0985915492957746,0.43246048340578,0
"0X4167","Site",16,163,0.098159509202454,0.448425943790413,0
"0X2192","Site",51,521,0.0978886756238004,0.78499695033242,0
"0X8091","Site",34,348,0.0977011494252874,0.632106013446805,0
"0X3289","Site",22,227,0.0969162995594714,0.478556530331354,0
"0X8633","Site",46,475,0.0968421052631579,0.687885645093098,0
"0X2323","Site",24,248,0.0967741935483871,0.494153615485659,0
"0X7983","Site",25,263,0.0950570342205323,0.433603466168153,0
"0X1982","Site",15,158,0.0949367088607595,0.331992231781635,0
"0X6381","Site",10,107,0.0934579439252336,0.231858803080541,0
"0X3461","Site",26,280,0.0928571428571429,0.347893480561319,0
"0X3653","Site",20,218,0.0917431192660551,0.262508167425022,0
"0X6405","Site",34,371,0.091644204851752,0.337303422058957,0
